ID,Region,First Nation,Water System Name,Type of advisory,Date Advisory Set,Long term advisory since,Date Advisory Lifted,EPHO recommendation to lift,Project Phase,Population,Corrective Measure,Longitude,Latitude
1215,MANITOBA,Sapotaweyak Cree Nation,Sapotaweyak Water Treatment Plant,Boil water advisory,2019-07-10,2020-07-10,2021-05-20,2021-05-20,Complete,501 to 1000 people,"Interim repairs to plant and, in longer-term, new water treatment plant 
",-100.4599,52.7457
1690,MANITOBA,Wuskwi Sipihk First Nation,Wuskwi Sipihk Public Water System ,Boil water advisory,2014-04-24,2015-04-24,2020-07-30,,Complete,0 to 100 people,"New water treatment plant
",-100.87052,52.50907
1752,MANITOBA,Pauingassi First Nation,Pauingassi Public Water System ,Boil water advisory,2014-09-24,2015-09-24,2018-03-16,,Complete,501 to 1000 people,Upgrade and expansion of treatment plant,-95.37413,52.15761
1817,SASKATCHEWAN,Little Pine,Little Pine Public Water System,Boil water advisory,2018-11-14,2019-11-14,,,Complete,501 to 1000 people,"Upgrades and repairs to system; operational improvements
",-107.2375,53.00416
1760,SASKATCHEWAN,Poundmaker,Poundmaker Public Water System ,Boil water advisory,2009-08-19,2010-08-19,2018-03-20,,Complete,0 to 100 people,"Improved in-house water storage
",-108.97431,52.89611
1761,SASKATCHEWAN,Poundmaker,TLE Community Public Water System ,Boil water advisory,2006-12-15,2007-12-15,2017-04-21,,Complete,0 to 100 people,"Improved operation and monitoring
",-108.97431,52.89611
1763,SASKATCHEWAN,Sweetgrass,Sweetgrass Public Water System ,Boil water advisory,2002-01-11,2003-01-11,2017-01-26,,Complete,0 to 100 people,"Improved distribution system disinfection
",-108.71593,52.76546
1516,SASKATCHEWAN,Sweetgrass,Sweet Grass No. 113/ Sweetgrass Public Water System,Boil water advisory,2023-09-07,2024-09-07,2025-05-29,,Complete,501 to 1000 people,"Water treatment plant upgrade

",-108.71593,52.76546
1754,SASKATCHEWAN,Cumberland House Cree Nation,Pemmican Portage Public Water System ,Boil water advisory,2015-03-18,2016-03-18,2016-04-20,,Complete,501 to 1000 people,"Water treatment plant repairs
",-102.28493,53.94193
1755,SASKATCHEWAN,Cumberland House Cree Nation,Cumberland No. 20 Reserve Centre ,Boil water advisory,2015-03-18,2016-03-18,2016-08-02,,Complete,0 to 100 people,"Water treatment plant repairs
",-102.28493,53.94193
1788,SASKATCHEWAN,Fond du Lac,Fond du Lac Denesuline Public Water System ,Boil water advisory,2017-07-16,2018-07-16,2018-10-19,,Complete,1001 or more people,"Upgrades to treatment system

",-107.88886,59.12322
1413,SASKATCHEWAN,Montreal Lake,Little Red River Public Water System,Do not consume advisory,2021-05-28,2022-05-28,2023-01-30,,Complete,501 to 1000 people,"Repairs and operational improvements; plant upgrade in longer-term


",-106.05277,53.53056
1759,SASKATCHEWAN,Peter Ballantyne Cree Nation,Pelican Narrows Semi-Public Water System ,Boil water advisory,2015-08-25,2016-08-25,2017-11-07,,Complete,Unknown,"Improved operation and maintenance
",-102.93417,55.1724
1226,SASKATCHEWAN,Peter Ballantyne Cree Nation,Chief Joseph Custer #201 (Opawakoscikan Reserve #201) ,Boil water advisory,2019-08-20,2020-08-20,2021-03-22,,Complete,0 to 100 people,"Distribution system upgrades
",-102.887,55.168
1762,SASKATCHEWAN,Red Earth,Red Earth Cree Nation Public Water System ,Boil water advisory,2016-06-24,2017-06-24,2018-03-02,,Complete,1001 or more people,"Repairs and upgrades to treatment system
",-102.86114,53.49095
1692,SASKATCHEWAN,Black Lake,Black Lake Public Water System ,Boil water advisory,2013-04-19,2014-04-19,2021-01-23,,Complete,1001 or more people,"Upgrades to treatment plant
",-105.60264,59.13025
1753,SASKATCHEWAN,Cowessess,Marieval (lower subdivision) Public Water System ,Boil water advisory,2017-02-15,2018-02-15,2018-03-22,,Complete,101 to 500 people,"Water treatment plant repairs
",-102.66013,50.51636
1756,SASKATCHEWAN,Kahkewistahaw,Kahkewistahaw Public Water System ,Boil water advisory,2015-06-03,2016-06-03,2017-10-31,,Complete,101 to 500 people,"Water treatment plant repairs
",-102.53144,50.49124
1402,SASKATCHEWAN,Zagime Anishinabek,Zagime Public Water System,Do not consume advisory,2021-02-24,2022-02-24,2022-07-14,,Complete,201 to 500 people,"Installation of a temporary treatment system and longer-term upgrades to the water treatment plant
",-102.78526,50.56298
1698,SASKATCHEWAN,White Bear,White Bear Public Water System ,Boil water advisory,2011-09-20,2012-09-20,2021-06-15,,Complete,501 to 1000 people,"New water treatment plant
",-102.27037,49.75176
1757,SASKATCHEWAN,Nekaneet,Nekaneet Public Water System ,Boil water advisory,2013-08-26,2014-08-26,2016-04-06,,Complete,101 to 500 people, Effective monitoring and sampling ,-109.19816,49.67516
1758,SASKATCHEWAN,Nekaneet,Upper Camp Public Water System ,Boil water advisory,2013-08-26,2014-08-26,2016-11-30,,Complete,0 to 100 people,"Commissioning of new treatment plant
",-109.19816,49.67516
1801,SASKATCHEWAN,Nekaneet,Upper Camp Public Water System,Boil water advisory,2017-10-26,2018-10-26,2019-03-04,,Complete,0 to 100 people,"Upgrades to treatment system
",-109.1981607,49.67516372
1389,SASKATCHEWAN,Okanese,Okanese Public Water System ,Boil water advisory,2020-08-28,2021-08-28,,,Complete,201 to 500 people,"New water treatment plant
",-103.35438,50.93548
1696,SASKATCHEWAN,Peepeekisis Cree Nation No.81,Poitras Well ,Boil water advisory,2013-04-10,2014-04-10,,2018-07-20,Complete,0 to 100 people,Repairs to system; upgrades to system in longer-term,-103.33924,50.86519
1695,SASKATCHEWAN,Peepeekisis Cree Nation No.81,Peepeekis Main Public Water System ,Boil water advisory,2015-02-05,2016-02-05,,2018-07-20,Complete,501 to 1000 people,"Repairs to system; upgrades to system in longer-term

",-103.33924,50.86519
1810,SASKATCHEWAN,Standing Buffalo,Standing Buffalo Public Water System ,Boil water advisory,2018-05-09,2019-05-09,2019-07-10,,Complete,101 to 500 people,Upgrades and repairs to system,-103.9705198,50.8235608
1697,SASKATCHEWAN,Star Blanket Cree Nation,Star Blanket Public Water System ,Boil water advisory,2007-01-10,2008-01-10,2024-06-28,,Complete,101 to 500 people,"New water treatment plant
",-103.30419,50.96244
1563,SASKATCHEWAN,Ministikwan Lake Cree Nation,Ministikwan No. 161 Public Water System / Ministikwan No. 161A - Mudie Lake,Boil water advisory,2024-12-17,2025-12-17,,,Construction,1001 or more people,"Complete repairs to treatment system and optimize plant operation
",-109.6696719,54.05001563
1365,SASKATCHEWAN,Ministikwan Lake Cree Nation,Ministikwan Lake Public Water System ,Boil water advisory,2020-03-09,2021-03-09,2022-07-11,,Complete,501 to 1000 people,Plant upgrades and distribution system repairs,-109.63656,53.99734
1691,SASKATCHEWAN,Big Island Lake Cree Nation,Big Island Lake Public Water System ,Boil water advisory,2013-08-20,2014-08-20,2018-06-25,,Complete,501 to 1000 people,"Repairs to treatment system; Improved operation and maintenance
",-109.62092,54.41121
1506,SASKATCHEWAN,English River First Nation,La Plonge No.192 Public Water System,Boil water advisory,2023-05-14,2024-05-14,2024-11-07,2024-11-07,Complete,101 to 500 people,"Upgrades to the water treatment system
",-107.59366,55.23812
1765,ALBERTA,Kapawe'no First Nation,Narrow's Semi-Public Water System ,Boil water advisory,2009-09-29,2010-09-29,2018-04-16,,Complete,Unknown,"Monitoring and reporting improvements
",-116.15486,55.54863
1700,ALBERTA,Whitefish Lake,Whitefish River Public Water System ,Boil water advisory,2011-05-24,2012-05-24,2018-07-03,,Complete,101 to 500 people,New water treatment plant,-115.64807,55.9189
1764,ALBERTA,Frog Lake,Frog Lake Head Start Building Semi-Public Water Supply ,Boil water advisory,2016-02-25,2017-02-25,2017-11-16,,Complete,0 to 100 people,"Connection to community water system
",-110.41667,53.83167
1699,ALBERTA,Kehewin Cree Nation,Kehewin Public Water System ,Boil water advisory,2011-04-23,2012-04-23,2020-09-10,,Complete,1001 or more people,New water treatment plant,-110.85709,54.11609
1705,BRITISH COLUMBIA,Semiahmoo,Semiahmoo Community Water System ,Boil water advisory,2005-10-13,2006-10-13,2021-03-31,,Complete,0 to 50 people,"New connection to City of Surrey and repairs to distribution system
",-122.77774,49.01453
1772,BRITISH COLUMBIA,T'it'q'et,Seton Lake Cabins Community Water System ,Boil water advisory,2007-07-24,2008-07-24,2017-08-17,,Complete,0 to 50 people,"Upgrades and repairs to system
",-121.94215,50.67821
1774,BRITISH COLUMBIA,Tsal'alh,Spider Creek Community Water System ,Boil water advisory,2016-11-30,2017-11-30,2018-02-05,,Complete,0 to 50 people,Upgrades to treatment system,-122.27861,50.70583
1768,BRITISH COLUMBIA,Lower Similkameen,Blind Creek Community Water System ,Boil water advisory,2016-05-07,2017-05-07,2017-05-08,,Complete,0 to 50 people,"Maintenance of system
",-119.7238,49.05143
1770,BRITISH COLUMBIA,Shuswap Band,Stoddart Creek Community Water System ,Boil water advisory,2014-05-12,2015-05-12,2016-06-30,,Complete,0 to 50 people,Water system improvements ,-116.00726,50.51586
1706,BRITISH COLUMBIA,Stellat'en First Nation,Stellaquo Community Water System ,Do not consume advisory,2012-03-13,2013-03-13,2019-04-01,,Complete,101 to 200 people,"Upgrade water treatment process 
",-124.91111,54.0638
1707,BRITISH COLUMBIA,Tl'azt'en Nation,Dzitl'ainli (Middle River Community Water System) ,Boil water advisory,2005-01-07,2006-01-07,2018-11-16,,Complete,0 to 50 people,"New water treatment plant
",-124.72357,54.65587
1704,BRITISH COLUMBIA,Cowichan,Dougans Lake Community Water System ,Boil water advisory,2011-06-29,2012-06-29,2018-09-12,,Complete,0 to 50 people,"Connection to regional distribution system
",-123.61667,48.73333
1701,BRITISH COLUMBIA,Adams Lake,Doug Arnouse Community Water System ,Boil water advisory,2009-04-23,2010-04-23,2018-09-13,,Complete,0 to 50 people,"Water system improvements 
",-119.66944,50.95417
1703,BRITISH COLUMBIA,Bonaparte First Nation,Morgan/Upper Hat Creek ,Boil water advisory,2006-02-09,2007-02-09,2020-08-28,,Complete,0 to 50 people,"New water treatment plant
",-121.38529,50.84215
1771,BRITISH COLUMBIA,Siska,Siska Flat 5 and 5A Community Water System ,Do not consume advisory,2012-05-23,2013-05-23,2017-04-24,,Complete,0 to 50 people,"New well connected to system
",-121.57155,50.13635
1766,BRITISH COLUMBIA,Tŝideldel First Nation,Alexis Creek Community Water System ,Boil water advisory,2003-10-15,2004-10-15,2016-10-21,,Complete,201 to 500 people,"New water treatment plant 
",-123.95209,52.13858
1702,BRITISH COLUMBIA,Tŝideldel First Nation,Michel Gardens Community Water System ,Boil water advisory,1999-04-01,2000-04-01,2018-10-12,,Complete,0 to 50 people,"Water system improvements 
",-123.28333,52.08333
1767,BRITISH COLUMBIA,Esk'etemc,Esket Community Water System ,Boil water advisory,2004-10-21,2005-10-21,2016-03-22,,Complete,501 to 1000 people,"New water treatment plant 
",-122.23645,51.78866
1710,BRITISH COLUMBIA,Xeni Gwet'in First Nations Government,Lohbiee Community Water System ,Boil water advisory,2001-05-01,2002-05-01,2018-12-11,,Complete,201 to 500 people,"New water treatment system 
",-124.09563,51.41537
1709,BRITISH COLUMBIA,Xeni Gwet'in First Nations Government,Carrot Creek/James Lulua Community Water System ,Boil water advisory,2001-10-18,2002-10-18,2021-03-09,,Complete,0 to 50 people,"Installation of point-of-use systems and implementation of monitoring

",-124.11427,51.41252
1773,BRITISH COLUMBIA,Tl’esqox,Toosey Community Water System ,Boil water advisory,2004-11-25,2005-11-25,2017-05-08,,Complete,101 to 200 people,New water treatment plant,-122.50232,51.93182
1775,BRITISH COLUMBIA,Williams Lake First Nation,Sugar Cane Williams Lake Community Water System ,Boil water advisory,2006-07-31,2007-07-31,2015-11-30,,Complete,201 to 500 people,New water treatment plant,-121.99391,52.1083
1769,BRITISH COLUMBIA,Nazko First Nation,Nazko Community Water System ,Do not consume advisory,1999-01-01,2000-01-01,2015-11-20,,Complete,0 to 50 people,"New water treatment plant
",-123.58066,52.94126
1708,BRITISH COLUMBIA,Wet'suwet'en First Nation,Palling Community Water System ,Do not consume advisory,2012-03-13,2013-03-13,2021-03-18,,Complete,51 to 100 people,"Upgrades to treatment process and feasibility study to determine long-term solution
",-125.88823,54.33072
,,,,,,,,,,,,,
 Data from : 2025-12-24,,,,,,,,,,,,,
